valid,probeX,cueOri,description,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,rt,corr,fixFrames,probeFrames,participant,cueFrames,dateStr,
1,8,0,right,0,0,0,4,right,0.408102989197,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,0,1,1,5,left,0.360348939896,1,30,12,JWP,12,2014_Apr_26_1707,
0,-8,0,conflict,0,2,2,9,left,0.402215957642,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,0,3,3,2,right,0.330863952637,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,0,4,4,0,right,0.22195482254,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,0,5,5,7,left,0.230054855347,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,0,6,6,1,left,0.303519010544,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,0,7,7,3,left,0.22713303566,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,0,8,8,6,right,0.291015863419,1,30,12,JWP,12,2014_Apr_26_1707,
0,8,180,conflict,0,9,9,8,right,0.408082962036,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,1,0,10,7,left,0.249559879303,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,1,1,11,4,right,0.255077123642,1,30,12,JWP,12,2014_Apr_26_1707,
0,8,180,conflict,1,2,12,8,right,0.382224082947,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,1,3,13,0,right,0.351087808609,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,1,4,14,5,left,0.167712926865,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,1,5,15,2,right,0.307279825211,1,30,12,JWP,12,2014_Apr_26_1707,
0,-8,0,conflict,1,6,16,9,left,0.343756914139,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,1,7,17,6,right,0.303211927414,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,1,8,18,3,left,1.53885102272,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,1,9,19,1,left,0.271864891052,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,2,0,20,1,left,0.325706958771,1,30,12,JWP,12,2014_Apr_26_1707,
0,8,180,conflict,2,1,21,8,right,0.385885953903,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,2,2,22,0,right,0.291054964066,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,2,3,23,6,right,0.28839802742,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,2,4,24,7,left,0.27762389183,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,2,5,25,4,right,0.347790002823,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,2,6,26,2,right,0.351197957993,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,2,7,27,5,left,0.218251943588,1,30,12,JWP,12,2014_Apr_26_1707,
0,-8,0,conflict,2,8,28,9,left,0.50569319725,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,2,9,29,3,left,0.230112075806,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,3,0,30,3,left,0.342345952988,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,3,1,31,2,right,0.218781232834,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,3,2,32,7,left,0.225682973862,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,3,3,33,5,left,1.28992390633,1,30,12,JWP,12,2014_Apr_26_1707,
0,-8,0,conflict,3,4,34,9,left,1.29369807243,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,3,5,35,4,right,0.391280889511,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,3,6,36,1,left,0.134490013123,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,3,7,37,6,right,0.275648117065,1,30,12,JWP,12,2014_Apr_26_1707,
0,8,180,conflict,3,8,38,8,left,0.167674064636,0,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,3,9,39,0,right,0.346652984619,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,4,0,40,5,left,0.293786048889,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,4,1,41,6,right,0.307219982147,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,4,2,42,2,right,0.255683898926,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,4,3,43,4,right,0.294443845749,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,4,4,44,1,left,0.219907999039,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,4,5,45,7,left,0.278022050858,1,30,12,JWP,12,2014_Apr_26_1707,
1,-8,180,left,4,6,46,3,left,0.273459911346,1,30,12,JWP,12,2014_Apr_26_1707,
1,8,0,right,4,7,47,0,right,0.279503107071,1,30,12,JWP,12,2014_Apr_26_1707,
0,8,180,conflict,4,8,48,8,right,0.397793054581,1,30,12,JWP,12,2014_Apr_26_1707,
0,-8,0,conflict,4,9,49,9,left,0.374241828918,1,30,12,JWP,12,2014_Apr_26_1707,
